,Timings,Thread Count,Grid Size
0,"[0.000664, 0.000583, 0.00058, 0.000565, 0.00057, 0.000543, 0.000619, 0.000591, 0.000604, 0.000569]",1,32
1,"[0.002738, 0.002314, 0.002429, 0.002382, 0.002283, 0.002292, 0.002476, 0.002288, 0.002351, 0.00234]",1,64
2,"[0.009411, 0.009907, 0.0095, 0.010234, 0.009671, 0.009071, 0.008976, 0.009113, 0.011479, 0.011223]",1,128
3,"[0.041134, 0.042176, 0.03966, 0.037189, 0.03638, 0.036636, 0.036578, 0.036138, 0.036183, 0.036011]",1,256
4,"[0.154253, 0.153473, 0.151558, 0.152482, 0.151062, 0.152347, 0.150757, 0.157963, 0.150253, 0.148693]",1,512
5,"[0.622019, 0.625782, 0.616099, 0.624972, 0.816345, 0.919992, 0.94859, 0.956703, 0.933948, 0.915249]",1,1024
6,"[3.666971, 3.519671, 3.496411, 3.49237, 3.471892, 3.466814, 3.463997, 3.474105, 3.45168, 3.47335]",1,2048
7,"[13.863088, 13.798003, 13.848474, 13.819067, 14.128656, 16.04164, 14.947293, 15.682338, 15.765948, 15.740217]",1,4096
8,"[0.000825, 0.000694, 0.000795, 0.000746, 0.000796, 0.000726, 0.000701, 0.000725, 0.000847, 0.000705]",2,32
9,"[0.00257, 0.002343, 0.002323, 0.002752, 0.002336, 0.022094, 0.023971, 0.002484, 0.004315, 0.004336]",2,64
10,"[0.014024, 0.010215, 0.009733, 0.009547, 0.009751, 0.010229, 0.009963, 0.009594, 0.009458, 0.009539]",2,128
11,"[0.043254, 0.041502, 0.039227, 0.038958, 0.041673, 0.041821, 0.042018, 0.042841, 0.041361, 0.041129]",2,256
12,"[0.179848, 0.214586, 0.165023, 0.179994, 0.164881, 0.175714, 0.22076, 0.164136, 0.194194, 0.215331]",2,512
13,"[0.885232, 0.935991, 0.776376, 0.74865, 0.725309, 0.777974, 0.674249, 0.756011, 0.79302, 0.780382]",2,1024
14,"[2.967259, 2.828225, 2.283664, 2.402059, 2.665277, 2.312926, 2.313118, 2.399525, 2.309246, 2.314793]",2,2048
15,"[9.270062, 9.233542, 10.193715, 9.410163, 9.452561, 9.379848, 9.36673, 9.458143, 9.395329, 9.435293]",2,4096
16,"[0.001099, 0.001177, 0.000737, 0.000636, 0.00115, 0.000864, 0.000624, 0.000987, 0.000685, 0.000671]",4,32
17,"[0.002726, 0.001662, 0.001672, 0.002869, 0.001666, 0.001618, 0.002725, 0.001573, 0.002949, 0.001604]",4,64
18,"[0.009828, 0.005699, 0.01005, 0.005611, 0.009324, 0.008903, 0.005514, 0.007193, 0.010439, 0.005681]",4,128
19,"[0.025013, 0.023279, 0.022404, 0.036928, 0.02219, 0.022073, 0.02214, 0.0221, 0.022313, 0.023631]",4,256
20,"[0.145556, 0.097733, 0.099781, 0.134257, 0.161661, 0.1415, 0.129989, 0.113522, 0.104334, 0.10394]",4,512
21,"[0.484797, 0.543332, 0.411241, 0.484839, 0.43488, 0.454777, 0.460383, 0.444624, 0.503083, 0.43458]",4,1024
22,"[1.822677, 1.859074, 1.870362, 1.822612, 1.815743, 1.769651, 1.843383, 1.808927, 1.848023, 1.826725]",4,2048
23,"[7.200946, 7.163151, 7.169193, 7.14169, 7.217831, 7.140982, 7.240242, 7.221407, 7.221232, 7.155731]",4,4096
24,"[0.002139, 0.002709, 0.001643, 0.001883, 0.001544, 0.001691, 0.002081, 0.002389, 0.001686, 0.002071]",8,32
25,"[0.003734, 0.003899, 0.00279, 0.004098, 0.004923, 0.002918, 0.002841, 0.003189, 0.002499, 0.003238]",8,64
26,"[0.010111, 0.008923, 0.008301, 0.008069, 0.008766, 0.008912, 0.008602, 0.008064, 0.00786, 0.009132]",8,128
27,"[0.035334, 0.034691, 0.032245, 0.028806, 0.027984, 0.02962, 0.027816, 0.033009, 0.028728, 0.027505]",8,256
28,"[0.117904, 0.112448, 0.13905, 0.107204, 0.110681, 0.117551, 0.10734, 0.109607, 0.107787, 0.107894]",8,512
29,"[0.472347, 0.445534, 0.443674, 0.444796, 0.443809, 0.489102, 0.436076, 0.44724, 0.464124, 0.452921]",8,1024
30,"[1.810682, 1.785621, 1.81486, 1.794084, 1.821164, 1.938846, 1.797667, 1.777659, 1.80697, 1.8263]",8,2048
31,"[7.18552, 7.147277, 7.196454, 7.133249, 7.213074, 7.192701, 7.176311, 7.173429, 7.300369, 7.190281]",8,4096
